timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749466356015,699,Get Instruction,200,OK,QA_Hillel_garage 1-1,text,true,,1509,217,2,2,https://qauto.forstudy.space/api/instructions,691,0,622
1749466356928,147,Get Instruction,200,OK,QA_Hillel_garage 1-2,text,true,,1509,217,3,3,https://qauto.forstudy.space/api/instructions,147,0,102
1749466357940,212,Get Instruction,200,OK,QA_Hillel_garage 1-3,text,true,,1509,217,4,4,https://qauto.forstudy.space/api/instructions,212,0,108
1749466357718,1135,Create user,201,Created,QA_Hillel_garage 1-1,text,true,,589,381,4,4,https://qauto.forstudy.space/api/auth/signup,1135,0,0
1749466358938,279,Get Instruction,200,OK,QA_Hillel_garage 1-4,text,true,,1509,217,5,5,https://qauto.forstudy.space/api/instructions,279,0,95
1749466358078,1143,Create user,201,Created,QA_Hillel_garage 1-2,text,true,,585,381,5,5,https://qauto.forstudy.space/api/auth/signup,1143,0,0
1749466359155,789,Create user,201,Created,QA_Hillel_garage 1-3,text,true,,587,381,6,6,https://qauto.forstudy.space/api/auth/signup,789,0,0
1749466359897,52,Add Car,201,Created,QA_Hillel_garage 1-1,text,true,,538,389,6,6,https://qauto.forstudy.space/api/cars,52,0,0
1749466359942,155,Get Instruction,200,OK,QA_Hillel_garage 1-5,text,true,,1509,217,6,6,https://qauto.forstudy.space/api/instructions,155,0,112
1749466360223,62,Add Car,201,Created,QA_Hillel_garage 1-2,text,true,,538,385,6,6,https://qauto.forstudy.space/api/cars,62,0,0
1749466360218,790,Create user,201,Created,QA_Hillel_garage 1-4,text,true,,591,381,7,7,https://qauto.forstudy.space/api/auth/signup,790,0,0
1749466360953,57,Add Car,201,Created,QA_Hillel_garage 1-3,text,true,,538,387,7,7,https://qauto.forstudy.space/api/cars,57,0,0
1749466360969,44,Get current user cars,200,OK,QA_Hillel_garage 1-1,text,true,,535,307,7,7,https://qauto.forstudy.space/api/cars,44,0,0
1749466360939,139,Get Instruction,200,OK,QA_Hillel_garage 1-6,text,true,,1509,217,7,7,https://qauto.forstudy.space/api/instructions,139,0,98
1749466361298,218,Get current user cars,200,OK,QA_Hillel_garage 1-2,text,true,,535,303,7,7,https://qauto.forstudy.space/api/cars,218,0,0
1749466361109,772,Create user,201,Created,QA_Hillel_garage 1-5,text,true,,589,381,7,7,https://qauto.forstudy.space/api/auth/signup,772,0,0
1749466362012,49,Get current user cars,200,OK,QA_Hillel_garage 1-3,text,true,,535,305,8,8,https://qauto.forstudy.space/api/cars,49,0,0
1749466362011,53,Add Car,201,Created,QA_Hillel_garage 1-4,text,true,,538,391,8,8,https://qauto.forstudy.space/api/cars,53,0,0
1749466362017,48,Delete car,200,OK,QA_Hillel_garage 1-1,text,true,,336,336,8,8,https://qauto.forstudy.space/api/cars/364049,48,0,0
1749466361952,144,Get Instruction,200,OK,QA_Hillel_garage 1-7,text,true,,1509,217,8,8,https://qauto.forstudy.space/api/instructions,144,0,99
1749466362080,771,Create user,201,Created,QA_Hillel_garage 1-6,text,true,,587,381,8,8,https://qauto.forstudy.space/api/auth/signup,771,0,0
1749466362518,336,Delete car,200,OK,QA_Hillel_garage 1-2,text,true,,336,332,8,8,https://qauto.forstudy.space/api/cars/364050,336,0,0
1749466362885,49,Add Car,201,Created,QA_Hillel_garage 1-5,text,true,,538,389,9,9,https://qauto.forstudy.space/api/cars,49,0,0
1749466362942,146,Get Instruction,200,OK,QA_Hillel_garage 1-8,text,true,,1509,217,9,9,https://qauto.forstudy.space/api/instructions,146,0,104
1749466363063,45,Delete car,200,OK,QA_Hillel_garage 1-3,text,true,,336,334,9,9,https://qauto.forstudy.space/api/cars/364051,45,0,0
1749466363067,46,Get current user cars,200,OK,QA_Hillel_garage 1-4,text,true,,535,309,9,9,https://qauto.forstudy.space/api/cars,46,0,0
1749466363067,50,Delete user,200,OK,QA_Hillel_garage 1-1,text,true,,449,330,9,9,https://qauto.forstudy.space/api/users,50,0,0
1749466363098,768,Create user,201,Created,QA_Hillel_garage 1-7,text,true,,587,381,9,9,https://qauto.forstudy.space/api/auth/signup,768,0,0
1749466363854,50,Add Car,201,Created,QA_Hillel_garage 1-6,text,true,,538,387,9,9,https://qauto.forstudy.space/api/cars,50,0,0
1749466363856,50,Delete user,200,OK,QA_Hillel_garage 1-2,text,true,,449,326,9,9,https://qauto.forstudy.space/api/users,50,0,0
1749466363940,45,Get current user cars,200,OK,QA_Hillel_garage 1-5,text,true,,535,307,10,10,https://qauto.forstudy.space/api/cars,45,0,0
1749466363940,133,Get Instruction,200,OK,QA_Hillel_garage 1-9,text,true,,1509,217,10,10,https://qauto.forstudy.space/api/instructions,133,0,92
1749466364120,379,Get Instruction,200,OK,QA_Hillel_garage 1-1,text,true,,1509,315,10,10,https://qauto.forstudy.space/api/instructions,379,0,0
1749466364115,384,Delete car,200,OK,QA_Hillel_garage 1-4,text,true,,336,338,10,10,https://qauto.forstudy.space/api/cars/364052,384,0,0
1749466364109,390,Delete user,200,OK,QA_Hillel_garage 1-3,text,true,,449,328,10,10,https://qauto.forstudy.space/api/users,390,0,0
1749466364089,773,Create user,201,Created,QA_Hillel_garage 1-8,text,true,,585,381,10,10,https://qauto.forstudy.space/api/auth/signup,773,0,0
1749466364870,51,Add Car,201,Created,QA_Hillel_garage 1-7,text,true,,538,387,10,10,https://qauto.forstudy.space/api/cars,51,0,0
1749466364908,46,Get Instruction,200,OK,QA_Hillel_garage 1-2,text,true,,1509,311,11,11,https://qauto.forstudy.space/api/instructions,46,0,0
1749466364907,48,Get current user cars,200,OK,QA_Hillel_garage 1-6,text,true,,535,305,11,11,https://qauto.forstudy.space/api/cars,48,0,0
1749466364987,46,Delete car,200,OK,QA_Hillel_garage 1-5,text,true,,336,336,11,11,https://qauto.forstudy.space/api/cars/364053,46,0,0
1749466364930,134,Get Instruction,200,OK,QA_Hillel_garage 1-10,text,true,,1509,217,11,11,https://qauto.forstudy.space/api/instructions,134,0,93
1749466365504,349,Get Instruction,200,OK,QA_Hillel_garage 1-3,text,true,,1509,313,11,11,https://qauto.forstudy.space/api/instructions,349,0,0
1749466365501,356,Delete user,200,OK,QA_Hillel_garage 1-4,text,true,,449,332,11,11,https://qauto.forstudy.space/api/users,356,0,0
1749466365074,786,Create user,201,Created,QA_Hillel_garage 1-9,text,true,,587,381,11,11,https://qauto.forstudy.space/api/auth/signup,786,0,0
1749466365943,276,Get Instruction,200,OK,QA_Hillel_garage 1-11,text,true,,1509,217,12,12,https://qauto.forstudy.space/api/instructions,276,0,94
1749466365958,276,Delete car,200,OK,QA_Hillel_garage 1-6,text,true,,336,334,12,12,https://qauto.forstudy.space/api/cars/364054,276,0,0
1749466365923,315,Get current user cars,200,OK,QA_Hillel_garage 1-7,text,true,,535,305,12,12,https://qauto.forstudy.space/api/cars,315,0,0
1749466366034,207,Delete user,200,OK,QA_Hillel_garage 1-5,text,true,,449,330,12,12,https://qauto.forstudy.space/api/users,207,0,0
1749466365864,384,Add Car,201,Created,QA_Hillel_garage 1-8,text,true,,538,385,12,12,https://qauto.forstudy.space/api/cars,384,0,0
1749466366944,337,Get Instruction,200,OK,QA_Hillel_garage 1-12,text,true,,1509,217,13,13,https://qauto.forstudy.space/api/instructions,337,0,94
1749466366860,422,Get Instruction,200,OK,QA_Hillel_garage 1-4,text,true,,1509,317,13,13,https://qauto.forstudy.space/api/instructions,422,0,0
