timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750017983535,364,Get all characters,200,OK,Testing with localhost1 1-30,text,true,,340,154,90,90,http://localhost:3001//characters,364,0,224
1750017983570,492,Get all characters,200,OK,Testing with localhost1 1-67,text,true,,340,154,100,100,http://localhost:3001//characters,492,0,191
1750017983666,223,Get all characters,200,OK,Testing with localhost1 1-17,text,true,,340,154,89,89,http://localhost:3001//characters,222,0,88
1750017983622,256,Get all characters,200,OK,Testing with localhost1 1-13,text,true,,340,154,87,87,http://localhost:3001//characters,256,0,126
1750017983526,356,Get all characters,200,OK,Testing with localhost1 1-10,text,true,,340,154,88,88,http://localhost:3001//characters,356,0,220
1750017983652,221,Get all characters,200,OK,Testing with localhost1 1-32,text,true,,340,154,87,87,http://localhost:3001//characters,221,0,95
1750017983526,552,Get all characters,200,OK,Testing with localhost1 1-53,text,true,,340,154,100,100,http://localhost:3001//characters,552,0,254
1750017983523,368,Get all characters,200,OK,Testing with localhost1 1-51,text,true,,340,154,89,89,http://localhost:3001//characters,368,0,232
1750017983532,366,Get all characters,200,OK,Testing with localhost1 1-6,text,true,,340,154,90,90,http://localhost:3001//characters,365,0,228
1750017983522,545,Get all characters,200,OK,Testing with localhost1 1-61,text,true,,340,154,100,100,http://localhost:3001//characters,545,0,239
1750017983666,178,Get all characters,200,OK,Testing with localhost1 1-24,text,true,,340,154,87,87,http://localhost:3001//characters,148,0,82
1750017983539,378,Get all characters,200,OK,Testing with localhost1 1-49,text,true,,340,154,93,93,http://localhost:3001//characters,378,0,221
1750017983526,387,Get all characters,200,OK,Testing with localhost1 1-19,text,true,,340,154,93,93,http://localhost:3001//characters,386,0,234
1750017983504,564,Get all characters,200,OK,Testing with localhost1 1-60,text,true,,340,154,100,100,http://localhost:3001//characters,563,0,257
1750017983541,386,Get all characters,200,OK,Testing with localhost1 1-15,text,true,,340,154,93,93,http://localhost:3001//characters,386,0,219
1750017983496,373,Get all characters,200,OK,Testing with localhost1 1-37,text,true,,340,154,87,87,http://localhost:3001//characters,373,0,251
1750017983514,586,Get all characters,200,OK,Testing with localhost1 1-9,text,true,,340,154,100,100,http://localhost:3001//characters,585,0,248
1750017983583,520,Get all characters,200,OK,Testing with localhost1 1-70,text,true,,340,154,100,100,http://localhost:3001//characters,520,0,179
1750017983535,570,Get all characters,200,OK,Testing with localhost1 1-33,text,true,,340,154,100,100,http://localhost:3001//characters,570,0,230
1750017983527,583,Get all characters,200,OK,Testing with localhost1 1-29,text,true,,340,154,100,100,http://localhost:3001//characters,583,0,241
1750017983518,596,Get all characters,200,OK,Testing with localhost1 1-62,text,true,,340,154,100,100,http://localhost:3001//characters,596,0,250
